seal	wake	label	registry_id
1	24	decisions-w24	11
2	25	decisions-w25	14
3	26	decisions-w26	27
4	27	decisions-w27	30
5	28	decisions-w28	32
6	29	decisions-w29	36
7	30	decisions-w30	45
8	31	decisions-w31	54
9	32	decisions-w32	71
10	33	decisions-w33	74
11	34	decisions-w34	77
12	35	decisions-w35	104
13	36	decisions-w36	121
14	37	decisions-w37	134
15	38	decisions-w38	151
16	39	decisions-w39	157
17	40	decisions-w40	181
18	41	decisions-w41	185
19	42	decisions-w42	196
20	43	decisions-w43	215
21	44	decisions-w44	236
22	45	decisions-w45	263
23	46	decisions-w46	302
24	47	decisions-w47	322
25	48	decisions-w48	333
26	49	decisions-w49	345
27	50	decisions-w50	377
28	51	decisions-w51	382
29	52	decisions-w52	398
30	53	decisions-w53	416
31	54	decisions-w54	417
32	55	decisions-w55	419
33	56	decisions-w56	424
34	57	decisions-w57	434
35	58	decisions-w58	463
36	59	decisions-w59	467
37	60	decisions-w60	468
38	61	decisions-w61	471
39	62	decisions-w62	472
40	63	decisions-w63	482
41	64	decisions-w64	488
42	65	decisions-w65	490
43	66	decisions-w66	494
44	67	decisions-w67	495
45	68	decisions-w68	499
46	69	decisions-w69	500
47	70	decisions-w70	503
48	71	decisions-w71	509
49	72	decisions-w72	517
50	73	decisions-w73	522
51	74	decisions-w74	543
52	75	decisions-w75	551
53	76	decisions-w76	556
54	77	decisions-w77	557
55	78	decisions-w78	560
56	79	decisions-w79	561
57	80	decisions-w80	564
58	81	decisions-w81	565
59	82	decisions-w82	566
60	83	decisions-w83	567
61	84	decisions-w84	571
62	85	decisions-w85	575
63	86	decisions-w86	592
64	94	decisions-w94	599
65	95	decisions-w95	600
66	96	decisions-w96	605
67	97	decisions-w97	606
68	98	decisions-w98	607
69	99	decisions-w99	608
70	100	decisions-w100	609
71	101	decisions-w101	610
72	102	decisions-w102	612
73	103	decisions-w103	613
74	104	decisions-w104	614
75	105	decisions-w105	628
76	106	decisions-w106	665
77	107	decisions-w107	679
78	108	decisions-w108	689
79	109	decisions-w109	695
80	110	decisions-w110	696
81	111	decisions-w111	697
82	112	decisions-w112	698
83	113	decisions-w113	699
84	114	decisions-w114	704
85	115	decisions-w115	705
86	116	decisions-w116	707
87	117	decisions-w117	708
88	118	decisions-w118	709
89	119	decisions-w119	711
90	120	decisions-w120	712
91	121	decisions-w121	716
92	122	decisions-w122	718
93	123	decisions-w123	720
94	124	decisions-w124	724
95	125	decisions-w125	725
96	126	decisions-w126	727
97	127	decisions-w127	728
98	128	decisions-w128	730
99	129	decisions-w129	732
100	130	decisions-w130	734
101	131	decisions-w131	735
102	132	decisions-w132	738
103	133	decisions-w133	739
104	134	decisions-w134	770
105	135	decisions-w135	781
106	135	decisions-w135	782
107	136	decisions-w136	787
108	137	decisions-w137	789
109	138	decisions-w138	798
110	139	decisions-w139	802
111	140	decisions-w140	808
112	141	decisions-w141	812
113	142	decisions-w142	818
114	143	decisions-w143	819
115	144	decisions-w144	820
116	145	decisions-w145	821
117	146	decisions-w146	825
118	147	decisions-w147	915
119	148	decisions-w148	929
120	149	decisions-w149	964
121	150	decisions-w150	988
122	151	decisions-w151	1106
123	152	decisions-w152	1193
124	153	decisions-w153	1210
125	154	decisions-w154	1227
126	155	decisions-w155	1234
127	156	decisions-w156	1250
128	157	decisions-w157	1298
129	157	decisions-w157	1299
130	158	decisions-w158	1309
131	160	decisions-w160	1415
132	161	decisions-w161	1419
133	162	decisions-w162	1460
134	163	decisions-w163	1465
135	164	decisions-w164	1475
136	165	decisions-w165	1489
137	166	decisions-w166	1549
138	166	decisions-w166	1551
139	167	decisions-w167	1562
140	168	decisions-w168	1563
141	169	decisions-w169	1566
142	170	decisions-w170	1569
143	170	decisions-w170	1570
144	171	decisions-w171	1586
145	172	decisions-w172	1605
146	173	decisions-w173	1616
147	174	decisions-w174	1618
148	175	decisions-w175	1630
149	176	decisions-w176	1633
150	177	decisions-w177	1642
151	178	decisions-w178	1654
152	179	decisions-w179	1712
153	180	decisions-w180	1719
154	181	decisions-w181	1720
155	182	decisions-w182	1721
156	183	decisions-w183	1722
157	184	decisions-w184	1726
158	185	decisions-w185	1728
159	186	decisions-w186	1733
160	187	decisions-w187	1739
161	189	decisions-w189	1754
162	191	decisions-w191	1755
163	192	decisions-w192	1758
164	193	decisions-w193	1761
165	194	decisions-w194	1764
166	195	decisions-w195	1774
167	196	decisions-w196	1787
168	197	decisions-w197	1792
169	198	decisions-w198	1794
170	199	decisions-w199	1829
171	200	decisions-w200	1838
172	201	decisions-w201	1856
173	202	decisions-w202	1864
174	203	decisions-w203	1884
175	204	decisions-w204	1891
176	205	decisions-w205	1893
177	206	decisions-w206	1896
178	207	decisions-w207	1905
179	207	decisions-w207	1906
180	208	decisions-w208	1911
181	209	decisions-w209	1916
182	210	decisions-w210	1923
183	211	decisions-w211	1953
184	212	decisions-w212	1960
185	213	decisions-w213	1968
186	214	decisions-w214	1975
187	215	decisions-w215	1983
188	216	decisions-w216	1990
189	216	decisions-w216	1991
